TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
bile_duct	bile_duct	0.283076084660936	-1.26203956708069	15891	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
thyroid-carcinoma-medullary_carcinoma	thyroid-carcinoma-medullary_carcinoma	0.324122460385755	-1.1266338704467	300	1	0.0434782608695652	23	17775	4314	MMP3
medullary_carcinoma	medullary_carcinoma	0.324122460385755	-1.1266338704467	300	1	0.0434782608695652	23	17775	4314	MMP3
parathyroid-carcinoma	parathyroid-carcinoma	0.333846320299589	-1.09707451075611	311	1	0.0434782608695652	23	17775	9308	CD83
adenoma	adenoma	0.335892551917375	-1.09096395612156	2966	5	0.217391304347826	23	17775	259307,4314,3569,1999,10673	IL4I1,MMP3,IL6,ELF3,TNFSF13B
skin-head_neck-malignant_melanoma-superficial_spreading	skin-head_neck-malignant_melanoma-superficial_spreading	0.350180550729874	-1.0493063982801	950	2	0.0869565217391304	23	17775	64332,1999	NFKBIZ,ELF3
biliary_tract	biliary_tract	0.356918152883854	-1.03024878711808	16126	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
kidney-carcinoma	kidney-carcinoma	0.363916938361647	-1.01082962869915	3789	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
basal_(triple-negative)_carcinoma	basal_(triple-negative)_carcinoma	0.366568276847475	-1.00357048074282	3077	5	0.217391304347826	23	17775	1880,259307,1999,10673,22943	GPR183,IL4I1,ELF3,TNFSF13B,DKK1
breast-carcinoma-basal_(triple-negative)_carcinoma	breast-carcinoma-basal_(triple-negative)_carcinoma	0.366568276847475	-1.00357048074282	3077	5	0.217391304347826	23	17775	1880,259307,1999,10673,22943	GPR183,IL4I1,ELF3,TNFSF13B,DKK1
large_intestine-carcinoma-adenocarcinoma	large_intestine-carcinoma-adenocarcinoma	0.375312159340276	-0.979997174377786	17034	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
prostate-adenoma	prostate-adenoma	0.376484626954406	-0.976878064038216	1691	3	0.130434782608696	23	17775	259307,3569,1999	IL4I1,IL6,ELF3
bone-fibula-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-fibula-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.404601104600992	-0.90485362414596	396	1	0.0434782608695652	23	17775	4314	MMP3
fibula	fibula	0.413991201287801	-0.881910558310686	408	1	0.0434782608695652	23	17775	4314	MMP3
central_nervous_system-brain-glioma	central_nervous_system-brain-glioma	0.414671149588192	-0.880269483505558	16286	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
spleen	spleen	0.425529725362969	-0.854420473566327	423	1	0.0434782608695652	23	17775	3589	IL11
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	0.436319857819713	-0.829379685747323	15548	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	0.436319857819713	-0.829379685747323	15548	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	0.436319857819713	-0.829379685747323	15548	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	0.436319857819713	-0.829379685747323	15548	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
classic	classic	0.436642662155263	-0.828640125129594	15549	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
medulla	medulla	0.437935131765744	-0.825684480565177	15553	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
desmoplastic	desmoplastic	0.438258561693212	-0.824946219277584	15554	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
superficial_spreading	superficial_spreading	0.439197500391389	-0.822806080079449	1140	2	0.0869565217391304	23	17775	64332,1999	NFKBIZ,ELF3
central_nervous_system-brain-glioma-astrocytoma_Grade_II	central_nervous_system-brain-glioma-astrocytoma_Grade_II	0.441319134906535	-0.817987003332742	444	1	0.0434782608695652	23	17775	5743	PTGS2
central_nervous_system	central_nervous_system	0.454328462984984	-0.788934855780099	17176	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
pancreas-carcinoma-ductal_carcinoma	pancreas-carcinoma-ductal_carcinoma	0.455035686465996	-0.7873794313134	16389	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
large_cell	large_cell	0.460538552369921	-0.775358708289517	15622	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
parathyroid	parathyroid	0.477259510646489	-0.739694888557054	494	1	0.0434782608695652	23	17775	9308	CD83
pleura-mesothelioma	pleura-mesothelioma	0.492718913841303	-0.707816422019436	4290	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
skin-ear-carcinoma-squamous_cell_carcinoma	skin-ear-carcinoma-squamous_cell_carcinoma	0.495736629474592	-0.701710482244289	521	1	0.0434782608695652	23	17775	1437	CSF2
follicular_lymphoma	follicular_lymphoma	0.496216919697026	-0.7007421097628	1269	2	0.0869565217391304	23	17775	259307,3589	IL4I1,IL11
lung-carcinoma	lung-carcinoma	0.510761411732215	-0.671852702445972	4361	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
plasma_cell_myeloma	plasma_cell_myeloma	0.518668612089712	-0.656490112103305	1322	2	0.0869565217391304	23	17775	259307,3569	IL4I1,IL6
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	0.518668612089712	-0.656490112103305	1322	2	0.0869565217391304	23	17775	259307,3569	IL4I1,IL6
breast	breast	0.520655934598638	-0.652665849629557	17278	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
large_intestine-colon-carcinoma-adenocarcinoma	large_intestine-colon-carcinoma-adenocarcinoma	0.535416458013728	-0.624710408708779	17299	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
colon	colon	0.536129230985027	-0.623380044387886	17300	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
stomach-carcinoma-intestinal_adenocarcinoma	stomach-carcinoma-intestinal_adenocarcinoma	0.536483801791402	-0.622718909741084	7530	10	0.434782608695652	23	17775	1880,6354,4314,6364,6372,259307,2920,1437,1999,9308	GPR183,CCL7,MMP3,CCL20,CXCL6,IL4I1,CXCL2,CSF2,ELF3,CD83
intestinal_adenocarcinoma	intestinal_adenocarcinoma	0.536483801791402	-0.622718909741084	7530	10	0.434782608695652	23	17775	1880,6354,4314,6364,6372,259307,2920,1437,1999,9308	GPR183,CCL7,MMP3,CCL20,CXCL6,IL4I1,CXCL2,CSF2,ELF3,CD83
lung-left_upper_lobe-carcinoma-adenocarcinoma	lung-left_upper_lobe-carcinoma-adenocarcinoma	0.537691230688991	-0.620470804228285	586	1	0.0434782608695652	23	17775	5743	PTGS2
left_upper_lobe	left_upper_lobe	0.538927637283125	-0.618173970735086	588	1	0.0434782608695652	23	17775	5743	PTGS2
scalp	scalp	0.550998912921197	-0.596022442750956	2188	3	0.130434782608696	23	17775	5743,3589,6355	PTGS2,IL11,CCL8
soft_tissue-striated_muscle-rhabdomyosarcoma	soft_tissue-striated_muscle-rhabdomyosarcoma	0.552321025367793	-0.593625834054719	610	1	0.0434782608695652	23	17775	1437	CSF2
lung-middle_lobe-carcinoma-adenocarcinoma	lung-middle_lobe-carcinoma-adenocarcinoma	0.555384138210832	-0.588095263734344	1412	2	0.0869565217391304	23	17775	2919,64332	CXCL1,NFKBIZ
middle_lobe	middle_lobe	0.560930803295144	-0.578157726352044	1426	2	0.0869565217391304	23	17775	2919,64332	CXCL1,NFKBIZ
abdomen	abdomen	0.56241473500595	-0.575515738604951	627	1	0.0434782608695652	23	17775	259307	IL4I1
astrocytoma_Grade_II	astrocytoma_Grade_II	0.565924962929826	-0.569293783896636	633	1	0.0434782608695652	23	17775	5743	PTGS2
mesothelioma	mesothelioma	0.567021315056283	-0.567358383269115	4587	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
ear	ear	0.571139847483006	-0.560121182530499	642	1	0.0434782608695652	23	17775	1437	CSF2
central_nervous_system-brain-glioma-astrocytoma_Grade_IV	central_nervous_system-brain-glioma-astrocytoma_Grade_IV	0.572667238089216	-0.557450467279041	16661	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
skin-scalp-malignant_melanoma	skin-scalp-malignant_melanoma	0.575724944873904	-0.552125258598803	650	1	0.0434782608695652	23	17775	6355	CCL8
pancreas	pancreas	0.580596835336515	-0.543698678084183	17360	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
bone-femur-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-femur-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.581390401218189	-0.542332800766286	660	1	0.0434782608695652	23	17775	1999	ELF3
kidney-carcinoma-renal_cell_carcinoma	kidney-carcinoma-renal_cell_carcinoma	0.582299465685655	-0.540770417732383	4650	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
renal_cell_carcinoma	renal_cell_carcinoma	0.582299465685655	-0.540770417732383	4650	6	0.260869565217391	23	17775	2919,5743,4314,1999,10673,22943	CXCL1,PTGS2,MMP3,ELF3,TNFSF13B,DKK1
central_nervous_system-brain-glioma-astrocytoma_Grade_III	central_nervous_system-brain-glioma-astrocytoma_Grade_III	0.582663713403295	-0.540145079977425	1482	2	0.0869565217391304	23	17775	64332,9308	NFKBIZ,CD83
testis-germ_cell_tumour-seminoma	testis-germ_cell_tumour-seminoma	0.58864738113447	-0.52992794840273	673	1	0.0434782608695652	23	17775	84419	C15orf48
bone-pelvis-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-pelvis-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.589200597732038	-0.52898857991346	674	1	0.0434782608695652	23	17775	259307	IL4I1
bone-tibia-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-tibia-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.590855980803511	-0.526182978576319	677	1	0.0434782608695652	23	17775	1880	GPR183
astrocytoma_Grade_IV	astrocytoma_Grade_IV	0.599998523974772	-0.510828083811064	16720	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	0.604397688418991	-0.503522873178902	1540	2	0.0869565217391304	23	17775	5743,10673	PTGS2,TNFSF13B
seminoma	seminoma	0.617007318065215	-0.482874394425507	726	1	0.0434782608695652	23	17775	84419	C15orf48
astrocytoma_Grade_III	astrocytoma_Grade_III	0.629916961183628	-0.462167275928984	1611	2	0.0869565217391304	23	17775	64332,9308	NFKBIZ,CD83
testis	testis	0.634699628792305	-0.45460341752524	761	1	0.0434782608695652	23	17775	84419	C15orf48
lobular_carcinoma	lobular_carcinoma	0.645897391052437	-0.437114625195657	784	1	0.0434782608695652	23	17775	64332	NFKBIZ
breast-carcinoma-lobular_carcinoma	breast-carcinoma-lobular_carcinoma	0.645897391052437	-0.437114625195657	784	1	0.0434782608695652	23	17775	64332	NFKBIZ
skin-scalp-carcinoma-squamous_cell_carcinoma	skin-scalp-carcinoma-squamous_cell_carcinoma	0.646489118029879	-0.436198913038911	1659	2	0.0869565217391304	23	17775	5743,3589	PTGS2,IL11
autonomic_ganglia-neuroblastoma	autonomic_ganglia-neuroblastoma	0.647753691662834	-0.434244760346842	4133	5	0.217391304347826	23	17775	6354,5743,64332,9308,22943	CCL7,PTGS2,NFKBIZ,CD83,DKK1
neuroblastoma	neuroblastoma	0.647989899755726	-0.433880169548058	4134	5	0.217391304347826	23	17775	6354,5743,64332,9308,22943	CCL7,PTGS2,NFKBIZ,CD83,DKK1
large_intestine	large_intestine	0.648815749374451	-0.432606501854025	17444	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
primitive_neuroectodermal_tumour-medulloblastoma	primitive_neuroectodermal_tumour-medulloblastoma	0.651785124449295	-0.428040335101619	16161	21	0.91304347826087	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,1440,5743,4314,84419,6355,3569,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,CSF3,PTGS2,MMP3,C15orf48,CCL8,IL6,NFKBIZ,MT1F
autonomic_ganglia	autonomic_ganglia	0.656437595423068	-0.420927646234106	4170	5	0.217391304347826	23	17775	6354,5743,64332,9308,22943	CCL7,PTGS2,NFKBIZ,CD83,DKK1
